,Name,Id
0,Aaron Paul ,www.twitter.com/aaronpaul_8
1,Sofia Vergara,www.twitter.com/SofiaVergara
2,John Stamos,www.twitter.com/JohnStamos
3,Lena Dunham,www.twitter.com/LenaDunham
4,Anna Kendrick,www.twitter.com/AnnaKendrick47
5,Tom Hanks,www.twitter.com/tomhanks
6,Jada Pinkett Smith,www.twitter.com/jadapsmith
7,Steve Carell's,www.twitter.com/SteveCarell
8,Ashton Kutcher's,www.twitter.com/aplusk
9,Demi Moore's ,www.twitter.com/justdemi
10,Jim Carrey's,www.twitter.com/JimCarrey
11,Pee Wee Herman's ,www.twitter.com/PEEWEEHERMAN
12, Kristen Bell,www.twitter.com/IMKristenBell
13,Leonardo DiCaprio's,www.twitter.com/LeoDiCaprio
14,Dax Shepard's,www.twitter.com/daxshepard1
15,Jennifer Love Hewitt's,www.twitter.com/TheReal_Jlh
16,Cameron Diaz,www.twitter.com/CameronDiaz
17,Olivia Munn's,www.twitter.com/oliviamunn
18,Channing Tatum's,www.twitter.com/channingtatum
19,William Shatner,www.twitter.com/WilliamShatner
20,Eliza Dushku,www.twitter.com/ElizaDushku
21,Jason Mewes,www.twitter.com/JayMewes
22,Pamela Anderson's,www.twitter.com/Pameladanderson
23,Denise Richards,www.twitter.com/DENISE_RICHARDs
24,Elizabeth Banks,www.twitter.com/ElizabethBanks
25,Eva Longoria,www.twitter.com/EvaLongoria
26,The Rock's,www.twitter.com/TheRock
27,Jessica Alba,www.twitter.com/jessicaalba
28,Neil Patrick Harris,www.twitter.com/ActuallyNPH
29,Zachary Quinto,www./twitter.com/ZacharyQuinto
30,David Caruso's,www.twitter.com/DavidCaruso1
31,Frankie Muniz,www.twitter.com/FRANKIEMUNIZ
32,John Cusack's,www.twitter.com/johncusack
33,Sean Patrick Flanery's,www.twitter.com/seanflanery
34,Patrick Dempsey's,www.twitter.com/PatrickDempsey
35,Kevin Spacey's,www.twitter.com/KevinSpacey
36, Borat?,www.twitter.com/borat
37,Christina Applegate ,www.twitter.com/1capplegate
38,Greg Grunberg's ,www.twitter.com/greggrunberg
39,Danny Masterson,www.twitter.com/dannymasterson
40,Ben Stiller,www.twitter.com/redhourben
41,Kiefer Sutherland,www.twitter.com/RealKiefer
42, Hugh Jackman?,www.twitter.com/realhughjackman
43,Felicia Day's,www.twitter.com/feliciaday
44,Tracy Morgan,www.twitter.com/RealTracyMorgan
45,Whoopi Goldberg's,www.twitter.com/WhoopiGoldberg
46,Charlie Sheen's,www.twitter.com/charliesheen
47, Eddie Izzard ,www.twitter.com/EddieIzzard
48, Andy Milonakis?,www.twitter.com/andymilonakis
49, Allyson Hannigan ,www.twitter.com/alydenisof
50,Matthew Perry's,www.twitter.com/MatthewPerry
51,Mark Wahlberg,www.twitter.com/Mark_Wahlberg
52,Rumer Willis's,www.twitter.com/TheRue
53,Rainn Wilson,www.twitter.com/rainnwilson
54,Lisa Rinna,www.twitter.com/LisaRinna
55,Jeremy Piven,www.twitter.com/jeremypiven
56,Wil Wheaton,www.twitter.com/wilw
57,Punky Brewster's,www.twitter.com/moonfrye
58,Shannon Elizabeth's,www.twitter.com/ShannonElizab
59,Peter Facinelli,www.twitter.com/peterfacinelli
60,Phillip Schofield's,www.twitter.com/schofe
61,Marlee Matlin,www.twitter.com/marleematlin
62,Judah Friedlander's,www.twitter.com/judahworldchamp
63,Kirstie Alley's,www.twitter.com/kirstiealley
64,Alyssa Milano ,www.twitter.com/alyssa_milano
65,Tom Felton ,www.twitter.com/TomFelton
66,Masiela Lusha,www.twitter.com/Masiela
67,Rose McGowan's,www.twitter.com/rosemcgowan
68,Queen Latifah's,www.twitter.com/IAMQueenLatifah
69,Ari Graynor's,www.twitter.com/AGraynor
